sample_id,mse_pretrained,mse_finetuned,improvement_percent
166,0.07311204075813293,0.07307954132556915,0.04445154618354981
167,0.06166110187768936,0.061657391488552094,0.006017390257747585
168,0.055073752999305725,0.05514604598283768,-0.13126576562078598
169,0.06909668445587158,0.06827472150325775,1.1895837826008557
170,0.054832104593515396,0.054706692695617676,0.2287198327059376
171,0.1387564241886139,0.1391659677028656,-0.2951528310444626
172,0.11878582835197449,0.11895685642957687,-0.1439802036773049
173,0.06082078069448471,0.06056584417819977,0.41916021690242616
174,0.08697417378425598,0.08679713308811188,0.20355547910259797
175,0.02186177298426628,0.02214181423187256,-1.2809631121639173
176,0.023236235603690147,0.02342989295721054,-0.8334282575500498
177,0.09592773765325546,0.09526830166578293,0.6874299379907046
178,0.05172611400485039,0.05180661752820015,-0.15563419927632058
179,0.12688994407653809,0.1262584775686264,0.49764897644356637
180,0.04452289640903473,0.044828206300735474,-0.6857368148041977
181,0.11829358339309692,0.11803452670574188,0.21899470784648573
182,0.06566742807626724,0.06510314345359802,0.8593067205331345
183,0.15039154887199402,0.14930258691310883,0.7240845426792056
184,0.08551301807165146,0.08600131422281265,-0.5710196671416037
185,0.08112253993749619,0.08043587952852249,0.8464483600911556
186,0.1628289818763733,0.16297340393066406,-0.08869554585776131
187,0.10203550010919571,0.10098278522491455,1.0317143377983677
188,0.14922888576984406,0.15013712644577026,-0.6086225674303454
189,0.03008701466023922,0.0304078571498394,-1.066381936568534
190,0.08787272870540619,0.08779609203338623,0.08721326075580425
191,0.04769814386963844,0.04756191000342369,0.2856167036273579
192,0.11086046695709229,0.1104227602481842,0.3948266870222943
193,0.07108057290315628,0.07074989378452301,0.4652172951379441
194,0.11083303391933441,0.11125370860099792,-0.37955712911900397
195,0.03364555537700653,0.033707395195961,-0.18379788432587832
196,0.07893596589565277,0.07905648648738861,-0.15268146828485243
197,0.12777909636497498,0.12810978293418884,-0.2587955139913812
198,0.0671628937125206,0.0670568197965622,0.15793529744393775
199,0.16184549033641815,0.16173884272575378,0.06589470639066122
200,0.2365855872631073,0.23611828684806824,0.1975185472804823
201,0.12287211418151855,0.12337610125541687,-0.410172053481293
202,0.045270562171936035,0.0453302338719368,-0.13181126351560152
203,0.028201434761285782,0.02840171940624714,-0.7101931041792274
204,0.03480754792690277,0.0348757728934288,-0.19600624171328174
205,0.051338039338588715,0.051200684159994125,0.2675504954250745
206,0.11140144616365433,0.11024516820907593,1.037938011028501
207,0.0879557877779007,0.0871087834239006,0.9629887644565847
208,0.0892905741930008,0.08953960984945297,-0.27890475416934996
209,0.1305900663137436,0.13025087118148804,0.2597403782903655
210,0.06343823671340942,0.063271164894104,0.26336138574840157
211,0.052365563809871674,0.053001776337623596,-1.2149444815484596
212,0.11982079595327377,0.1208655834197998,-0.8719583760107428
213,0.05540119484066963,0.055691659450531006,-0.5242930422195569
214,0.12595537304878235,0.1254148781299591,0.42911620658661226
215,0.12781596183776855,0.12690754234790802,0.7107246049647901
216,0.09167450666427612,0.09196905046701431,-0.32129303276606025
217,0.10414798557758331,0.10383354127407074,0.3019206773570421
218,0.06293033808469772,0.06290985643863678,0.03254653746345993
219,0.08212101459503174,0.08135642111301422,0.9310570330611377
220,0.0966421365737915,0.09720806777477264,-0.5855946702328596
221,0.11897222697734833,0.11873184144496918,0.20205180526955924
222,0.22579163312911987,0.22542378306388855,0.16291572018496253
223,0.09091581404209137,0.09059670567512512,0.3509932461419745
224,0.0191049762070179,0.019267214462161064,-0.8491937041778577
225,0.0941537469625473,0.09417693316936493,-0.024625899197196856
226,0.13891258835792542,0.1392257809638977,-0.22546020463102742
227,0.03693747520446777,0.03702760860323906,-0.24401613339815864
228,0.0446050763130188,0.044633831828832626,-0.0644669131634016
